resolution,blur,alignmentId,queryId,referenceId,confidence,score,reverseStrand,isValid
64,0,67,1560,1,579.01,0.5825441184081147,True,1
64,0,116,11162,1,31.21,0.22535211267605637,False,1
64,0,85,9061,1,599.27,0.43084868788386377,False,1
64,0,20,3520,1,253.23,0.5495495495495494,True,1
64,0,125,12960,1,57.63,0.2565656565656569,False,1
64,0,119,10420,1,35.39,0.10714285714285698,True,0
64,0,133,9072,1,668.66,0.3523450586264656,True,1
64,0,2,9582,1,70.76,-0.12004289579261951,False,0
64,0,69,6120,1,114.3,0.6220113851992412,False,1
64,0,7,14330,1,43.85,0.1717557251908397,True,0
64,0,6,1931,1,346.5,0.050698085034495355,True,0
64,0,164,2772,1,255.59,0.1697349042709868,False,1
64,0,145,5080,1,178.43,0.3593906093906095,True,1
64,0,55,1792,1,584.14,0.6300086115191733,True,1
64,0,64,9891,1,759.01,0.39317605276509404,True,1
64,0,117,11161,1,16.25,0.07631160572337059,False,0
64,0,9,3271,1,207.55,0.09621451104100942,True,1
64,0,110,11681,1,15.79,0.09259259259259245,True,0
64,0,47,6780,1,79.81,0.3476027397260275,False,1
64,0,93,12560,1,23.93,0.19203980099502493,True,0
64,0,135,6950,1,37.7,0.36034115138592737,True,1
64,0,153,1231,1,902.44,0.44925731760594156,False,1
64,0,73,6931,1,78.09,0.442441860465116,False,1
64,0,104,12230,1,24.84,0.13698630136986323,True,1
64,0,140,3911,1,239.17,0.1584564860426929,True,1
64,0,94,9472,1,25.25,0.08487804878048766,False,0
64,0,3,5031,1,126.98,0.11401098901098894,False,0
64,0,148,1182,1,589.74,0.39808612440191393,True,1
64,0,31,11481,1,661.61,0.18291054739652868,False,1
64,0,174,4460,1,231.84,0.473365617433414,True,1
64,0,75,1311,1,695.88,0.21238754325259512,False,1
64,0,102,9141,1,24.28,0.14130434782608703,True,0
64,0,105,9540,1,21.02,0.24396929824561397,False,1
64,0,42,3931,1,178.41,0.3866666666666666,False,1
64,0,160,8050,1,170.99,0.15207117041979434,True,1
64,0,15,4342,1,164.62,0.1522129186602873,True,1
64,0,115,11920,1,35.62,0.37142857142857144,False,1
64,0,39,2731,1,328.73,0.11707610305522387,False,0
64,0,130,11531,1,756.77,0.3713826366559486,False,1
64,0,74,6932,1,74.35,0.3918918918918919,False,1
64,0,121,11880,1,19.58,0.05098610488570143,True,0
64,0,120,13450,1,50.94,0.03699753896636604,True,0
64,0,92,14320,1,21.83,0.09937888198757772,True,0
64,0,65,9892,1,744.25,0.44606542882404954,True,1
64,0,28,750,1,767.52,0.5082476120499633,True,1
64,0,156,852,1,760.43,0.42774822695035464,True,1
64,0,167,8381,1,1921.07,0.29475677903000785,True,1
64,0,82,8460,1,43.37,0.16044776119403004,False,1
64,0,101,14720,1,16.6,0.3737373737373737,False,1
64,0,59,12430,1,494.26,0.5651505248183322,False,1
64,0,173,1192,1,607.67,0.11788879536564834,False,1
64,0,159,7860,1,99.93,0.42613636363636354,True,1
64,0,51,171,1,1325.19,0.2898029255444241,True,1
64,0,163,2771,1,258.98,0.15636314141826602,False,0
64,0,166,362,1,978.24,0.263574297188755,True,1
64,0,103,9142,1,24.37,0.06666666666666665,True,0
64,0,52,172,1,1334.31,0.4388814691151919,True,1
64,0,131,1510,1,422.36,0.49098936745359534,False,1
64,0,24,12410,1,38.08,0.07388497217068679,False,0
64,0,150,5530,1,73.57,0.46250000000000013,True,1
64,0,122,11432,1,93.3,0.45017015070491007,True,1
64,0,17,4890,1,142.07,0.4636363636363634,True,1
64,0,80,6911,1,62.83,-0.08462370962370969,False,0
64,0,10,3272,1,192.2,0.055323689340309845,True,0
64,0,99,25320,1,23.75,0.013508371385083429,True,0
64,0,25,13880,1,73.66,0.08928571428571419,False,0
64,0,95,11080,1,21.36,0.5075757575757573,False,1
64,0,155,3130,1,396.6,0.4887892376681613,True,1
64,0,183,10532,1,568.6,0.07658058771148712,True,1
64,0,83,1211,1,668.55,0.5452102803738317,False,1
64,0,12,4202,1,124.92,0.604040404040404,False,1
64,0,70,7890,1,494.99,0.5236097794822626,True,1
64,0,48,5940,1,143.64,0.247320365224295,True,1
64,0,143,2830,1,381.19,0.27932899238494624,True,1
64,0,114,11900,1,35.56,0.1333078198749844,True,0
64,0,38,2732,1,311.55,0.0922803904170364,False,1
64,0,154,1232,1,900.27,0.4684433240298911,False,1
64,0,147,1181,1,608.64,0.3558889243536548,True,1
64,0,71,6730,1,65.96,0.2214285714285713,False,1
64,0,127,13722,1,36.18,0.055118110236220486,True,0
64,0,40,8121,1,271.18,0.11452184179456892,True,1
64,0,22,9312,1,308.43,0.3728070175438597,True,1
64,0,126,11390,1,24.66,0.2765567765567766,False,1
64,0,109,12930,1,14.21,0.2451612903225805,False,0
64,0,169,8490,1,423.58,0.19413202933985352,False,1
64,0,98,13930,1,26.72,0.17959183673469414,False,0
64,0,33,7140,1,27.14,0.0,True,0
64,0,168,8382,1,1898.53,0.4691618661080561,True,1
64,0,57,4130,1,171.71,0.5067538126361655,False,1
64,0,30,8930,1,82.43,0.36997885835095157,True,1
64,0,56,6000,1,134.03,-0.019953316768315355,True,0
64,0,178,3251,1,268.37,0.5187222715173025,False,1
64,0,149,13050,1,52.75,0.15570175438596479,True,0
64,0,61,742,1,1022.41,0.4004667740126282,False,1
64,0,19,7320,1,14.54,0.13085742771684927,True,0
64,0,37,2132,1,417.18,0.22867981790591818,True,1
64,0,137,5210,1,88.29,0.50920245398773,False,1
64,0,63,1362,1,684.58,0.5023437500000001,True,1
64,0,72,4380,1,206.26,0.2680180180180183,True,1
64,0,134,14160,1,21.94,0.12558139534883728,True,0
64,0,112,13591,1,37.22,0.3421052631578949,True,1
64,0,176,4481,1,196.8,0.48389164930277295,True,1
64,0,136,8020,1,454.12,0.3894542090656802,False,1
64,0,141,1630,1,546.58,0.30341055341055345,False,1
64,0,146,6430,1,101.18,0.3203488372093024,True,1
64,0,78,4591,1,212.11,0.38726359338061456,True,1
64,0,5,1932,1,350.02,0.06479779411764752,True,0
64,0,87,12220,1,26.58,-0.011087768440709578,True,0
64,0,32,11482,1,655.42,0.17713546160483173,False,1
64,0,171,3590,1,266.16,0.4385964912280702,False,1
64,0,81,6912,1,60.89,0.08502415458937207,False,0
64,0,157,851,1,759.72,0.3550288824969692,True,1
64,0,50,1052,1,741.84,0.45297177453739235,False,1
64,0,138,4640,1,166.46,0.6735915492957747,True,1
64,0,16,4160,1,125.47,0.2892307692307693,False,1
64,0,84,1212,1,669.2,0.49443424507912903,False,1
64,0,162,11060,1,36.39,0.07162964273650008,True,0
64,0,35,2142,1,381.24,0.24992668621700875,False,1
64,0,152,3042,1,332.12,0.610632183908046,True,1
64,0,45,952,1,648.22,0.20108173076923075,True,1
64,0,111,14640,1,18.22,0.17647058823529438,False,1
64,0,8,4550,1,153.23,0.32947019867549665,False,1
64,0,46,5710,1,93.68,0.3957845433255269,True,1
64,0,221,470,2,953.37,0.19253197893152718,False,1
64,0,277,712,2,925.49,0.4287662337662337,True,1
64,0,209,4261,2,176.96,0.7173469387755103,False,1
64,0,190,7340,2,26.38,0.17714285714285716,True,1
64,0,292,7961,2,1519.5,0.4668652467313369,True,1
64,0,259,2260,2,414.36,0.7178224687933427,False,1
64,0,276,711,2,931.77,0.46439580764488286,True,1
64,0,223,701,2,947.73,0.5308163265306123,True,1
64,0,295,3091,2,262.47,0.5685900216919739,False,1
64,0,300,6752,2,135.61,0.3271028037383178,False,1
64,0,260,9151,2,2402.91,0.22910199401515774,True,1
64,0,245,371,2,1169.92,0.3828648501284203,True,1
64,0,279,1682,2,569.87,0.5973333333333335,True,1
